n,run,epsilon
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
1,21,
1,22,
1,23,
1,24,
1,25,
1,26,
1,27,
1,28,
1,29,
1,30,
1,31,
1,32,
1,33,
1,34,
1,35,
1,36,
1,37,
1,38,
1,39,
1,40,
1,41,
1,42,
1,43,
1,44,
1,45,
1,46,
1,47,
1,48,
1,49,
1,50,
1,51,
1,52,
1,53,
1,54,
1,55,
1,56,
1,57,
1,58,
1,59,
1,60,
1,61,
1,62,
1,63,
1,64,
1,65,
1,66,
1,67,
1,68,
1,69,
1,70,
1,71,
1,72,
1,73,
1,74,
1,75,
1,76,
1,77,
1,78,
1,79,
1,80,
1,81,
1,82,
1,83,
1,84,
1,85,
1,86,
1,87,
1,88,
1,89,
1,90,
1,91,
1,92,
1,93,
1,94,
1,95,
1,96,
1,97,
1,98,
1,99,
1,100,
2,1,
2,2,
2,3,
2,4,
2,5,
2,6,
2,7,
2,8,
2,9,
2,10,
2,11,
2,12,
2,13,
2,14,
2,15,
2,16,
2,17,
2,18,
2,19,
2,20,
2,21,
2,22,
2,23,
2,24,
2,25,
2,26,
2,27,
2,28,
2,29,
2,30,
2,31,
2,32,
2,33,
2,34,
2,35,
2,36,
2,37,
2,38,
2,39,
2,40,
2,41,
2,42,
2,43,
2,44,
2,45,
2,46,
2,47,
2,48,
2,49,
2,50,
2,51,
2,52,
2,53,
2,54,
2,55,
2,56,
2,57,
2,58,
2,59,
2,60,
2,61,
2,62,
2,63,
2,64,
2,65,
2,66,
2,67,
2,68,
2,69,
2,70,
2,71,
2,72,
2,73,
2,74,
2,75,
2,76,
2,77,
2,78,
2,79,
2,80,
2,81,
2,82,
2,83,
2,84,
2,85,
2,86,
2,87,
2,88,
2,89,
2,90,
2,91,
2,92,
2,93,
2,94,
2,95,
2,96,
2,97,
2,98,
2,99,
2,100,
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,
4,7,
4,8,
4,9,
4,10,
4,11,
4,12,
4,13,
4,14,
4,15,
4,16,
4,17,
4,18,
4,19,
4,20,
4,21,
4,22,
4,23,
4,24,
4,25,
4,26,
4,27,
4,28,
4,29,
4,30,
4,31,
4,32,
4,33,
4,34,
4,35,
4,36,
4,37,
4,38,
4,39,
4,40,
4,41,
4,42,
4,43,
4,44,
4,45,
4,46,
4,47,
4,48,
4,49,
4,50,
4,51,
4,52,
4,53,
4,54,
4,55,
4,56,
4,57,
4,58,
4,59,
4,60,
4,61,
4,62,
4,63,
4,64,
4,65,
4,66,
4,67,
4,68,
4,69,
4,70,
4,71,
4,72,
4,73,
4,74,
4,75,
4,76,
4,77,
4,78,
4,79,
4,80,
4,81,
4,82,
4,83,
4,84,
4,85,
4,86,
4,87,
4,88,
4,89,
4,90,
4,91,
4,92,
4,93,
4,94,
4,95,
4,96,
4,97,
4,98,
4,99,
4,100,
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,
8,9,
8,10,
8,11,
8,12,
8,13,
8,14,
8,15,
8,16,
8,17,
8,18,
8,19,
8,20,
8,21,
8,22,
8,23,
8,24,
8,25,
8,26,
8,27,
8,28,
8,29,
8,30,
8,31,
8,32,
8,33,
8,34,
8,35,
8,36,
8,37,
8,38,
8,39,
8,40,
8,41,
8,42,
8,43,
8,44,
8,45,
8,46,
8,47,
8,48,
8,49,
8,50,
8,51,
8,52,
8,53,
8,54,
8,55,
8,56,
8,57,
8,58,
8,59,
8,60,
8,61,
8,62,
8,63,
8,64,
8,65,
8,66,
8,67,
8,68,
8,69,
8,70,
8,71,
8,72,
8,73,
8,74,
8,75,
8,76,
8,77,
8,78,
8,79,
8,80,
8,81,
8,82,
8,83,
8,84,
8,85,
8,86,
8,87,
8,88,
8,89,
8,90,
8,91,
8,92,
8,93,
8,94,
8,95,
8,96,
8,97,
8,98,
8,99,
8,100,
16,1,
16,2,
16,3,
16,4,
16,5,
16,6,
16,7,
16,8,
16,9,
16,10,
16,11,
16,12,
16,13,
16,14,
16,15,
16,16,
16,17,
16,18,
16,19,
16,20,
16,21,
16,22,
16,23,
16,24,
16,25,
16,26,
16,27,
16,28,
16,29,
16,30,
16,31,
16,32,
16,33,
16,34,
16,35,
16,36,
16,37,
16,38,
16,39,
16,40,
16,41,
16,42,
16,43,
16,44,
16,45,
16,46,
16,47,
16,48,
16,49,
16,50,
16,51,
16,52,
16,53,
16,54,
16,55,
16,56,
16,57,
16,58,
16,59,
16,60,
16,61,
16,62,
16,63,
16,64,
16,65,
16,66,
16,67,
16,68,
16,69,
16,70,
16,71,
16,72,
16,73,
16,74,
16,75,
16,76,
16,77,
16,78,
16,79,
16,80,
16,81,
16,82,
16,83,
16,84,
16,85,
16,86,
16,87,
16,88,
16,89,
16,90,
16,91,
16,92,
16,93,
16,94,
16,95,
16,96,
16,97,
16,98,
16,99,
16,100,
32,1,
32,2,
32,3,
32,4,
32,5,
32,6,
32,7,
32,8,
32,9,
32,10,
32,11,
32,12,
32,13,
32,14,
32,15,
32,16,
32,17,
32,18,
32,19,
32,20,
32,21,
32,22,
32,23,
32,24,
32,25,
32,26,
32,27,
32,28,
32,29,
32,30,
32,31,
32,32,
32,33,
32,34,
32,35,
32,36,
32,37,
32,38,
32,39,
32,40,
32,41,
32,42,
32,43,
32,44,
32,45,
32,46,
32,47,
32,48,
32,49,
32,50,
32,51,
32,52,
32,53,
32,54,
32,55,
32,56,
32,57,
32,58,
32,59,
32,60,
32,61,
32,62,
32,63,
32,64,
32,65,
32,66,
32,67,
32,68,
32,69,
32,70,
32,71,
32,72,
32,73,
32,74,
32,75,
32,76,
32,77,
32,78,
32,79,
32,80,
32,81,
32,82,
32,83,
32,84,
32,85,
32,86,
32,87,
32,88,
32,89,
32,90,
32,91,
32,92,
32,93,
32,94,
32,95,
32,96,
32,97,
32,98,
32,99,
32,100,
64,1,
64,2,
64,3,
64,4,
64,5,
64,6,
64,7,
64,8,
64,9,
64,10,
64,11,
64,12,
64,13,
64,14,
64,15,
64,16,
64,17,
64,18,
64,19,
64,20,
64,21,
64,22,
64,23,
64,24,
64,25,
64,26,
64,27,
64,28,
64,29,
64,30,
64,31,
64,32,
64,33,
64,34,
64,35,
64,36,
64,37,
64,38,
64,39,
64,40,
64,41,
64,42,
64,43,
64,44,
64,45,
64,46,
64,47,
64,48,
64,49,
64,50,
64,51,
64,52,
64,53,
64,54,
64,55,
64,56,
64,57,
64,58,
64,59,
64,60,
64,61,
64,62,
64,63,
64,64,
64,65,
64,66,
64,67,
64,68,
64,69,
64,70,
64,71,
64,72,
64,73,
64,74,
64,75,
64,76,
64,77,
64,78,
64,79,
64,80,
64,81,
64,82,
64,83,
64,84,
64,85,
64,86,
64,87,
64,88,
64,89,
64,90,
64,91,
64,92,
64,93,
64,94,
64,95,
64,96,
64,97,
64,98,
64,99,
64,100,
128,1,
128,2,
128,3,
128,4,
128,5,
128,6,
128,7,
128,8,
128,9,
128,10,
128,11,
128,12,
128,13,
128,14,
128,15,
128,16,
128,17,
128,18,
128,19,
128,20,
128,21,
128,22,
128,23,
128,24,
128,25,
128,26,
128,27,
128,28,
128,29,
128,30,
128,31,
128,32,
128,33,
128,34,
128,35,
128,36,
128,37,
128,38,
128,39,
128,40,
128,41,
128,42,
128,43,
128,44,
128,45,
128,46,
128,47,
128,48,
128,49,
128,50,
128,51,
128,52,
128,53,
128,54,
128,55,
128,56,
128,57,
128,58,
128,59,
128,60,
128,61,
128,62,
128,63,
128,64,
128,65,
128,66,
128,67,
128,68,
128,69,
128,70,
128,71,
128,72,
128,73,
128,74,
128,75,
128,76,
128,77,
128,78,
128,79,
128,80,
128,81,
128,82,
128,83,
128,84,
128,85,
128,86,
128,87,
128,88,
128,89,
128,90,
128,91,
128,92,
128,93,
128,94,
128,95,
128,96,
128,97,
128,98,
128,99,
128,100,
256,1,
256,2,
256,3,
256,4,
256,5,
256,6,
256,7,
256,8,
256,9,
256,10,
256,11,
256,12,
256,13,
256,14,
256,15,
256,16,
256,17,
256,18,
256,19,
256,20,
256,21,
256,22,
256,23,
256,24,
256,25,
256,26,
256,27,
256,28,
256,29,
256,30,
256,31,
256,32,
256,33,
256,34,
256,35,
256,36,
256,37,
256,38,
256,39,
256,40,
256,41,
256,42,
256,43,
256,44,
256,45,
256,46,
256,47,
256,48,
256,49,
256,50,
256,51,
256,52,
256,53,
256,54,
256,55,
256,56,
256,57,
256,58,
256,59,
256,60,
256,61,
256,62,
256,63,
256,64,
256,65,
256,66,
256,67,
256,68,
256,69,
256,70,
256,71,
256,72,
256,73,
256,74,
256,75,
256,76,
256,77,
256,78,
256,79,
256,80,
256,81,
256,82,
256,83,
256,84,
256,85,
256,86,
256,87,
256,88,
256,89,
256,90,
256,91,
256,92,
256,93,
256,94,
256,95,
256,96,
256,97,
256,98,
256,99,
256,100,
512,1,
512,2,
512,3,
512,4,
512,5,
512,6,
512,7,
512,8,
512,9,
512,10,
512,11,
512,12,
512,13,
512,14,
512,15,
512,16,
512,17,
512,18,
512,19,
512,20,
512,21,
512,22,
512,23,
512,24,
512,25,
512,26,
512,27,
512,28,
512,29,
512,30,
512,31,
512,32,
512,33,
512,34,
512,35,
512,36,
512,37,
512,38,
512,39,
512,40,
512,41,
512,42,
512,43,
512,44,
512,45,
512,46,
512,47,
512,48,
512,49,
512,50,
512,51,
512,52,
512,53,
512,54,
512,55,
512,56,
512,57,
512,58,
512,59,
512,60,
512,61,
512,62,
512,63,
512,64,
512,65,
512,66,
512,67,
512,68,
512,69,
512,70,
512,71,
512,72,
512,73,
512,74,
512,75,
512,76,
512,77,
512,78,
512,79,
512,80,
512,81,
512,82,
512,83,
512,84,
512,85,
512,86,
512,87,
512,88,
512,89,
512,90,
512,91,
512,92,
512,93,
512,94,
512,95,
512,96,
512,97,
512,98,
512,99,
512,100,
1024,1,
1024,2,
1024,3,
1024,4,
1024,5,
1024,6,
1024,7,
1024,8,
1024,9,
1024,10,
1024,11,
1024,12,
1024,13,
1024,14,
1024,15,
1024,16,
1024,17,
1024,18,
1024,19,
1024,20,
1024,21,
1024,22,
1024,23,
1024,24,
1024,25,
1024,26,
1024,27,
1024,28,
1024,29,
1024,30,
1024,31,
1024,32,
1024,33,
1024,34,
1024,35,
1024,36,
1024,37,
1024,38,
1024,39,
1024,40,
1024,41,
1024,42,
1024,43,
1024,44,
1024,45,
1024,46,
1024,47,
1024,48,
1024,49,
1024,50,
1024,51,
1024,52,
1024,53,
1024,54,
1024,55,
1024,56,
1024,57,
1024,58,
1024,59,
1024,60,
1024,61,
1024,62,
1024,63,
1024,64,
1024,65,
1024,66,
1024,67,
1024,68,
1024,69,
1024,70,
1024,71,
1024,72,
1024,73,
1024,74,
1024,75,
1024,76,
1024,77,
1024,78,
1024,79,
1024,80,
1024,81,
1024,82,
1024,83,
1024,84,
1024,85,
1024,86,
1024,87,
1024,88,
1024,89,
1024,90,
1024,91,
1024,92,
1024,93,
1024,94,
1024,95,
1024,96,
1024,97,
1024,98,
1024,99,
1024,100,
2048,1,
2048,2,
2048,3,
2048,4,
2048,5,
2048,6,
2048,7,
2048,8,
2048,9,
2048,10,
2048,11,
2048,12,
2048,13,
2048,14,
2048,15,
2048,16,
2048,17,
2048,18,
2048,19,
2048,20,
2048,21,
2048,22,
2048,23,
2048,24,
2048,25,
2048,26,
2048,27,
2048,28,
2048,29,
2048,30,
2048,31,
2048,32,
2048,33,
2048,34,
2048,35,
2048,36,
2048,37,
2048,38,
2048,39,
2048,40,
2048,41,
2048,42,
2048,43,
2048,44,
2048,45,
2048,46,
2048,47,
2048,48,
2048,49,
2048,50,
2048,51,
2048,52,
2048,53,
2048,54,
2048,55,
2048,56,
2048,57,
2048,58,
2048,59,
2048,60,
2048,61,
2048,62,
2048,63,
2048,64,
2048,65,
2048,66,
2048,67,
2048,68,
2048,69,
2048,70,
2048,71,
2048,72,
2048,73,
2048,74,
2048,75,
2048,76,
2048,77,
2048,78,
2048,79,
2048,80,
2048,81,
2048,82,
2048,83,
2048,84,
2048,85,
2048,86,
2048,87,
2048,88,
2048,89,
2048,90,
2048,91,
2048,92,
2048,93,
2048,94,
2048,95,
2048,96,
2048,97,
2048,98,
2048,99,
2048,100,
4096,1,
4096,2,
4096,3,
4096,4,
4096,5,
4096,6,
4096,7,
4096,8,
4096,9,
4096,10,
4096,11,
4096,12,
4096,13,
4096,14,
4096,15,
4096,16,
4096,17,
4096,18,
4096,19,
4096,20,
4096,21,
4096,22,
4096,23,
4096,24,
4096,25,
4096,26,
4096,27,
4096,28,
4096,29,
4096,30,
4096,31,
4096,32,
4096,33,
4096,34,
4096,35,
4096,36,
4096,37,
4096,38,
4096,39,
4096,40,
4096,41,
4096,42,
4096,43,
4096,44,
4096,45,
4096,46,
4096,47,
4096,48,
4096,49,
4096,50,
4096,51,
4096,52,
4096,53,
4096,54,
4096,55,
4096,56,
4096,57,
